Macrotrends Data Download

NASDAQ Composite - 45 Year Historical Chart

DISCLAIMER AND TERMS OF USE: HISTORICAL DATA IS PROVIDED "AS IS" AND SOLELY
FOR INFORMATIONAL PURPOSES - NOT FOR TRADING PURPOSES OR ADVICE.
NEITHER MACROTRENDS LLC NOR ANY OF OUR INFORMATION PROVIDERS WILL BE LIABLE
FOR ANY DAMAGES RELATING TO YOUR USE OF THE DATA PROVIDED.



ATTRIBUTION: Proper attribution requires clear indication of the data source as "www.macrotrends.net".
A "dofollow" backlink to the originating page is also required if the data is displayed on a web page.


date, value
1971-02-01,656.99,101.340
1971-03-01,685.31,105.970
1971-04-01,724.45,112.300
1971-05-01,694.86,108.250
1971-06-01,686.79,107.800
1971-07-01,669.10,105.270
1971-08-01,687.38,108.420
1971-09-01,691.25,109.030
1971-10-01,664.76,105.100
1971-11-01,657.61,103.970
1971-12-01,718.27,114.120
1972-01-01,748.17,118.870
1972-02-01,785.25,125.380
1972-03-01,800.62,128.140
1972-04-01,818.58,131.330
1972-05-01,824.07,132.530
1972-06-01,806.89,130.080
1972-07-01,788.73,127.750
1972-08-01,800.36,129.950
1972-09-01,796.32,129.610
1972-10-01,796.42,130.240
1972-11-01,811.19,132.960
1972-12-01,814.01,133.730
1973-01-01,779.64,128.400
1973-02-01,726.07,120.410
1973-03-01,701.71,117.460
1973-04-01,639.87,107.850
1973-05-01,604.75,102.640
1973-06-01,590.93,100.980
1973-07-01,634.35,108.640
1973-08-01,601.53,104.870
1973-09-01,636.40,111.200
1973-10-01,624.99,110.170
1973-11-01,527.02,93.510
1973-12-01,516.17,92.190
1974-01-01,526.96,94.930
1974-02-01,517.04,94.350
1974-03-01,499.37,92.270
1974-04-01,468.09,86.860
1974-05-01,426.90,80.200
1974-06-01,400.99,75.960
1974-07-01,366.47,69.990
1974-08-01,322.70,62.370
1974-09-01,284.59,55.670
1974-10-01,330.19,65.230
1974-11-01,316.20,62.950
1974-12-01,298.14,59.820
1975-01-01,346.46,69.780
1975-02-01,359.67,73.000
1975-03-01,371.41,75.660
1975-04-01,384.06,78.540
1975-05-01,404.03,83.100
1975-06-01,419.96,87.020
1975-07-01,397.07,83.190
1975-08-01,376.40,79.010
1975-09-01,352.18,74.330
1975-10-01,362.78,76.990
1975-11-01,368.63,78.800
1975-12-01,361.79,77.620
1976-01-01,404.96,87.050
1976-02-01,418.45,90.260
1976-03-01,419.39,90.620
1976-04-01,415.36,90.080
1976-05-01,403.05,88.040
1976-06-01,411.32,90.320
1976-07-01,413.54,91.290
1976-08-01,404.28,89.700
1976-09-01,409.85,91.260
1976-10-01,403.68,90.350
1976-11-01,406.40,91.120
1976-12-01,435.08,97.880
1977-01-01,422.48,95.540
1977-02-01,413.93,94.570
1977-03-01,409.28,94.130
1977-04-01,411.61,95.480
1977-05-01,410.08,95.590
1977-06-01,425.05,99.730
1977-07-01,426.86,100.650
1977-08-01,423.12,100.100
1977-09-01,424.88,100.850
1977-10-01,409.49,97.520
1977-11-01,431.06,103.150
1977-12-01,437.64,105.050
1978-01-01,417.38,100.840
1978-02-01,417.35,101.470
1978-03-01,433.30,106.200
1978-04-01,466.25,115.180
1978-05-01,482.28,120.240
1978-06-01,477.23,120.300
1978-07-01,497.32,126.320
1978-08-01,529.10,135.010
1978-09-01,516.94,132.890
1978-10-01,428.37,111.120
1978-11-01,440.18,114.690
1978-12-01,450.80,117.980
1979-01-01,476.48,125.820
1979-02-01,458.86,122.560
1979-03-01,488.30,131.760
1979-04-01,490.32,133.820
1979-05-01,475.48,131.420
1979-06-01,494.23,138.130
1979-07-01,500.17,141.330
1979-08-01,527.29,150.440
1979-09-01,520.13,149.980
1979-10-01,466.22,135.530
1979-11-01,491.64,144.260
1979-12-01,509.80,151.140
1980-01-01,537.82,161.750
1980-02-01,518.18,158.030
1980-03-01,423.00,131.000
1980-04-01,447.13,139.990
1980-05-01,475.72,150.450
1980-06-01,493.54,157.780
1980-07-01,537.42,171.810
1980-08-01,563.62,181.520
1980-09-01,578.30,187.760
1980-10-01,587.98,192.780
1980-11-01,629.65,208.150
1980-12-01,606.41,202.340
1981-01-01,588.09,197.810
1981-02-01,582.74,198.010
1981-03-01,614.36,210.180
1981-04-01,629.20,216.740
1981-05-01,643.82,223.470
1981-06-01,615.97,215.750
1981-07-01,597.64,211.630
1981-08-01,548.69,195.750
1981-09-01,499.76,180.030
1981-10-01,540.81,195.240
1981-11-01,555.98,201.370
1981-12-01,538.95,195.840
1982-01-01,516.75,188.390
1982-02-01,490.56,179.430
1982-03-01,480.75,175.650
1982-04-01,503.49,184.700
1982-05-01,482.06,178.540
1982-06-01,456.86,171.300
1982-07-01,443.98,167.350
1982-08-01,470.58,177.710
1982-09-01,495.77,187.650
1982-10-01,560.07,212.630
1982-11-01,613.30,232.310
1982-12-01,615.89,232.410
1983-01-01,656.89,248.350
1983-02-01,688.69,260.670
1983-03-01,715.45,270.800
1983-04-01,768.99,293.060
1983-05-01,805.17,308.730
1983-06-01,828.62,318.700
1983-07-01,786.95,303.960
1983-08-01,755.03,292.420
1983-09-01,762.09,296.650
1983-10-01,703.12,274.550
1983-11-01,730.17,285.670
1983-12-01,711.54,278.600
1984-01-01,681.54,268.430
1984-02-01,637.99,252.570
1984-03-01,632.22,250.780
1984-04-01,620.83,247.440
1984-05-01,582.52,232.820
1984-06-01,597.69,239.650
1984-07-01,570.80,229.700
1984-08-01,630.23,254.640
1984-09-01,615.85,249.940
1984-10-01,606.88,247.000
1984-11-01,595.58,242.400
1984-12-01,607.12,247.100
1985-01-01,683.37,278.700
1985-02-01,693.45,284.200
1985-03-01,678.74,279.200
1985-04-01,679.05,280.600
1985-05-01,701.12,290.800
1985-06-01,712.06,296.200
1985-07-01,723.12,301.300
1985-08-01,712.99,297.700
1985-09-01,669.64,280.300
1985-10-01,696.15,292.500
1985-11-01,745.12,314.000
1985-12-01,769.04,324.900
1986-01-01,792.49,335.800
1986-02-01,850.94,359.500
1986-03-01,891.04,374.700
1986-04-01,912.78,383.200
1986-05-01,950.48,400.200
1986-06-01,957.79,405.500
1986-07-01,877.25,371.400
